ISCO-88 Title,ISCO-88 code,ISCO-08 code,,ISCO-08 Title,Comments
Business Services Agents and Trade Brokers Not Elsewhere Classified,3429,3339,p,Business Services Agents Not Elsewhere Classified,"Literary, music, sports and theatre agents"
Administrative Secretaries and Related Associate Professionals,3431,3341,p,Office Supervisors,
Administrative Secretaries and Related Associate Professionals,3431,3342,p,Legal Secretaries,
Administrative Secretaries and Related Associate Professionals,3431,3343,p,Administrative and Executive Secretaries,
Administrative Secretaries and Related Associate Professionals,3431,3344,p,Medical Secretaries,
Legal and Related Business Associate Professionals,3432,3411,,Legal and Related Associate Professionals,
Bookkeepers,3433,3313,p,Accounting Associate Professionals,
"Statistical, Mathematical and Related Associate Professionals",3434,3313,p,Accounting Associate Professionals,Accounting assistants
"Statistical, Mathematical and Related Associate Professionals",3434,3314,,"Statistical, Mathematical and Related Associate Professionals",
Administrative Associate Professionals Not Elsewhere Classified,3439,3332,,Conference and Event Planners,
Administrative Associate Professionals Not Elsewhere Classified,3439,3341,p,Office Supervisors,"Office managers, office administrators, clerical supervisors"
Administrative Associate Professionals Not Elsewhere Classified,3439,3343,p,Administrative and Executive Secretaries,Executive secretaries to government department heads and official committees
Administrative Associate Professionals Not Elsewhere Classified,3439,3359,p,Government Regulatory Associate Professionals Not Elsewhere Classified,Administrative consular officials
Administrative Associate Professionals Not Elsewhere Classified,3439,3433,p,"Gallery, Museum and Library Technicians",Library technicians
Customs and Border Inspectors,3441,3351,,Customs and Border Inspectors,
Government Tax and Excise Officials,3442,3352,,Government Tax and Excise Officials,
Government Social Benefits Officials,3443,3353,,Government Social Benefits Officials,
Government Licensing Officials,3444,3354,,Government Licensing Officials,
"Customs, Tax and Related Government Associate Professionals Not Elsewhere Classified",3449,3359,p,Government Regulatory Associate Professionals Not Elsewhere Classified,
Police Inspectors and Detectives,3450,3355,,Police Inspectors and Detectives,
Police Inspectors and Detectives,3450,3411,,Legal and Related Associate Professionals,"Private investigators and detectives, store detectives"
Social Work Associate Professionals,3460,3412,,Social Work Associate Professionals,
Decorators and Commercial Designers,3471,2163,,Product and Garment Designers,
Decorators and Commercial Designers,3471,2166,p,Graphic and Multimedia Designers,
Decorators and Commercial Designers,3471,3432,,Interior Designers and Decorators,
Decorators and Commercial Designers,3471,3433,p,"Gallery, Museum and Library Technicians",Museum and gallery technicians
Decorators and Commercial Designers,3471,3435,p,Other Artistic and Cultural Associate Professionals,"Tattooists, body artists"
"Radio, Television and Other Announcers",3472,2642,p,Journalists,Media interviewers
"Radio, Television and Other Announcers",3472,2656,,"Announcers on Radio, Television and Other Media",
"Street, Night-club and Related Musicians, Singers and Dancers",3473,2652,p,"Musicians, Singers and Composers",
"Street, Night-club and Related Musicians, Singers and Dancers",3473,2653,p,Dancers and Choreographers,
"Clowns, Magicians, Acrobats and Related Associate Professionals",3474,2659,,Creative and Performing Artists Not Elsewhere Classified,
"Clowns, Magicians, Acrobats and Related Associate Professionals",3474,3435,p,Other Artistic and Cultural Associate Professionals,"Stunt coordinators, walkers on and a range of other performing arts support occupations classified in ISCO-08 3435 may have been classified in ISCO-88 3474"
"Athletes, Sportspersons and Related Associate Professionals",3475,3421,,Athletes and Sports Players,
"Athletes, Sportspersons and Related Associate Professionals",3475,3422,,"Sports Coaches, Instructors and Officials",
"Athletes, Sportspersons and Related Associate Professionals",3475,3423,p,Fitness and Recreation Instructors and Programme Leaders,
Religious Associate Professionals,3480,3413,p,Religious Associate Professionals,
Stenographers and Typists,4111,3341,p,Office Supervisors,
Stenographers and Typists,4111,4131,p,Typists and Word Processing Operators,
Word-processor and Related Operators,4112,3341,p,Office Supervisors,
Word-processor and Related Operators,4112,4131,p,Typists and Word Processing Operators,
Data Entry Operators,4113,3341,p,Office Supervisors,
Data Entry Operators,4113,4132,p,Data Entry Clerks,
Calculating-machine Operators,4114,3341,p,Office Supervisors,
Calculating-machine Operators,4114,4132,p,Data Entry Clerks,
Secretaries,4115,3341,p,Office Supervisors,
Secretaries,4115,3342,p,Legal Secretaries,
Secretaries,4115,3344,p,Medical Secretaries,
Secretaries,4115,4120,,Secretaries (general),
Accounting and Bookkeeping Clerks,4121,3341,p,Office Supervisors,
Accounting and Bookkeeping Clerks,4121,4311,,Accounting and Bookkeeping Clerks,
Accounting and Bookkeeping Clerks,4121,4313,,Payroll Clerks,
Statistical and Finance Clerks,4122,3341,p,Office Supervisors,
Statistical and Finance Clerks,4122,4312,p,"Statistical, Finance and Insurance Clerks","Consider ISCO-88 3432 in national contexts. The ISCO-88 index included brokers’ assistants and insurance claims, adjustment and policy assistants there."
Stock Clerks,4131,3341,p,Office Supervisors,
Stock Clerks,4131,4321,,Stock Clerks,
Production Clerks,4132,3341,p,Office Supervisors,
Production Clerks,4132,4322,,Production Clerks,
Transport Clerks,4133,3341,p,Office Supervisors,
Transport Clerks,4133,4323,,Transport Clerks,
Library and Filing Clerks,4141,3341,p,Office Supervisors,
Library and Filing Clerks,4141,4411,,Library Clerks,
Library and Filing Clerks,4141,4415,,Filing and Copying Clerks,
Mail Carriers and Sorting Clerks,4142,3341,p,Office Supervisors,
Mail Carriers and Sorting Clerks,4142,4412,,Mail Carriers and Sorting Clerks,
"Coding, Proof-reading and Related Clerks",4143,3252,,Medical Records and Health Information Technicians,
"Coding, Proof-reading and Related Clerks",4143,3341,p,Office Supervisors,
"Coding, Proof-reading and Related Clerks",4143,4413,,"Coding, Proofreading and Related Clerks",
Scribes and Related Workers,4144,4414,,Scribes and Related Workers,
Other Office Clerks,4190,3341,p,Office Supervisors,
Other Office Clerks,4190,4110,,General Office Clerks,
Other Office Clerks,4190,4227,,Survey and Market Research Interviewers,
Other Office Clerks,4190,4416,,Personnel Clerks,
Other Office Clerks,4190,4419,,Clerical Support Workers Not Elsewhere Classified,
Cashiers and Ticket Clerks,4211,4211,p,Bank Tellers and Related Clerks,Bank cashiers
Cashiers and Ticket Clerks,4211,4212,p,"Bookmakers, Croupiers and Related Gaming Workers","Clerk, bookmaking coded to 4211 in ISCO-88 index"
Cashiers and Ticket Clerks,4211,5230,,Cashiers and Ticket Clerks,
Tellers and Other Counter Clerks,4212,4211,p,Bank Tellers and Related Clerks,"Note that the  ISCO-88 index coded Assistant, bank to 3432: Legal and Related Associate Professionals"
Bookmakers and Croupiers,4213,4212,p,"Bookmakers, Croupiers and Related Gaming Workers",
Pawnbrokers and Money-lenders,4214,4213,,Pawnbrokers and Money-lenders,
Debt-collectors and Related Workers,4215,4214,,Debt Collectors and Related Workers,
Travel Agency and Related Clerks,4221,4221,p,Travel Consultants and Clerks,
Receptionists and Information Clerks,4222,3341,p,Office Supervisors,
Receptionists and Information Clerks,4222,4222,,Contact Centre Information Clerks,
Receptionists and Information Clerks,4222,4224,,Hotel Receptionists,
Receptionists and Information Clerks,4222,4225,,Inquiry Clerks,
Receptionists and Information Clerks,4222,4226,,Receptionists (general),
Receptionists and Information Clerks,4222,4229,,Client Information Workers Not Elsewhere Classified,
Telephone Switchboard Operators,4223,3341,p,Office Supervisors,
Telephone Switchboard Operators,4223,4223,,Telephone Switchboard Operators,
Telephone Switchboard Operators,4223,4221,p,Travel Consultants and Clerks,Airport check-in attendants
Travel Attendants and Travel Stewards,5111,5111,,Travel Attendants and Travel Stewards,
Transport Conductors,5112,5112,,Transport Conductors,
Travel Guides,5113,5113,,Travel Guides,
Housekeepers and Related Workers,5121,5151,,"Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments",
Housekeepers and Related Workers,5121,5152,,Domestic Housekeepers,
Cooks,5122,3434,,Chefs,
Cooks,5122,5120,,Cooks,
Cooks,5122,9411,,Fast Food Preparers,
"Waiters, Waitresses and Bartenders",5123,5131,,Waiters,
